sample_id,label,status,credibility_status,urgency_status,emotion_status,D0_length,D1_length,D2_length,D3_length
32,fraud,full_success,success,success,success,387.0,571.0,775.0,1122.0
33,fraud,full_success,success,success,success,389.0,474.0,698.0,1050.0
34,fraud,partial_or_fallback,failed: 质量检查失败：第 3 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,442.0,442.0,442.0,442.0
35,fraud,full_success,success,success,success,364.0,586.0,869.0,1061.0
36,fraud,full_success,success,success,success,391.0,617.0,815.0,1279.0
37,fraud,full_success,success,success,success,400.0,421.0,593.0,828.0
38,fraud,full_success,success,success,success,375.0,463.0,639.0,935.0
39,fraud,full_success,success,success,success,485.0,637.0,812.0,1144.0
40,fraud,full_success,success,success,success,328.0,541.0,710.0,1072.0
41,fraud,full_success,success,success,success,323.0,435.0,592.0,801.0
42,fraud,partial_or_fallback,failed: 质量检查失败：第 0 个 left 发言新增真实可操作字段：phones,skipped_due_to_D1_failure,skipped_due_to_previous_failure,481.0,481.0,481.0,481.0
43,fraud,full_success,success,success,success,309.0,446.0,618.0,830.0
44,fraud,full_success,success,success,success,370.0,528.0,763.0,1041.0
45,fraud,full_success,success,success,success,387.0,507.0,613.0,821.0
46,fraud,full_success,success,success,success,338.0,466.0,588.0,784.0
47,fraud,full_success,success,success,success,370.0,606.0,872.0,1256.0
48,fraud,full_success,success,success,success,413.0,520.0,725.0,1148.0
49,fraud,full_success,success,success,success,309.0,421.0,642.0,889.0
50,fraud,full_success,success,success,success,329.0,505.0,643.0,754.0
51,fraud,full_success,success,success,success,352.0,450.0,719.0,924.0
52,fraud,full_success,success,success,success,364.0,420.0,593.0,897.0
53,fraud,full_success,success,success,success,325.0,556.0,724.0,992.0
54,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,552.0,552.0,552.0,552.0
55,fraud,full_success,success,success,success,370.0,571.0,771.0,1023.0
56,fraud,full_success,success,success,success,261.0,451.0,642.0,836.0
57,fraud,full_success,success,success,success,309.0,465.0,665.0,1041.0
58,fraud,partial_or_fallback,failed: 质量检查失败：轮次数量不一致，原始 13，返回 11,skipped_due_to_D1_failure,skipped_due_to_previous_failure,386.0,386.0,386.0,386.0
59,fraud,partial_or_fallback,failed: 质量检查失败：轮次数量不一致，原始 10，返回 6,skipped_due_to_D1_failure,skipped_due_to_previous_failure,391.0,391.0,391.0,391.0
60,fraud,full_success,success,success,success,375.0,549.0,787.0,1193.0
61,fraud,partial_or_fallback,failed: 质量检查失败：第 4 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,320.0,320.0,320.0,320.0
62,fraud,full_success,success,success,success,317.0,535.0,773.0,1145.0
63,fraud,full_success,success,success,success,365.0,410.0,585.0,824.0
64,fraud,full_success,success,success,success,279.0,372.0,543.0,885.0
65,fraud,full_success,success,success,success,475.0,589.0,738.0,1072.0
66,fraud,full_success,success,success,success,268.0,530.0,693.0,966.0
67,fraud,full_success,success,success,success,353.0,543.0,846.0,1035.0
68,fraud,full_success,success,success,success,348.0,677.0,857.0,1157.0
69,fraud,full_success,success,success,success,386.0,567.0,722.0,947.0
70,fraud,full_success,success,success,success,334.0,478.0,686.0,999.0
71,fraud,full_success,success,success,success,537.0,791.0,1045.0,1365.0
72,fraud,full_success,success,success,success,324.0,402.0,560.0,729.0
73,fraud,full_success,success,success,success,396.0,582.0,984.0,1364.0
74,fraud,full_success,success,success,success,348.0,541.0,824.0,1070.0
75,fraud,full_success,success,success,success,402.0,587.0,813.0,1140.0
76,fraud,full_success,success,success,success,342.0,447.0,696.0,1053.0
77,fraud,full_success,success,success,success,341.0,470.0,646.0,802.0
78,fraud,full_success,success,success,success,444.0,579.0,743.0,848.0
79,fraud,full_success,success,success,success,352.0,507.0,703.0,901.0
80,fraud,full_success,success,success,success,572.0,628.0,808.0,1119.0
81,fraud,full_success,success,success,success,426.0,919.0,1198.0,1518.0
82,fraud,full_success,success,success,success,422.0,645.0,929.0,1482.0
83,fraud,full_success,success,success,success,405.0,501.0,671.0,800.0
84,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,470.0,470.0,470.0,470.0
85,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,472.0,472.0,472.0,472.0
86,fraud,full_success,success,success,success,298.0,347.0,522.0,733.0
87,fraud,full_success,success,success,success,403.0,478.0,626.0,915.0
88,fraud,partial_or_fallback,failed: 质量检查失败：第 0 个 left 发言出现元说明词：检测,skipped_due_to_D1_failure,skipped_due_to_previous_failure,428.0,428.0,428.0,428.0
89,fraud,full_success,success,success,success,338.0,493.0,684.0,915.0
90,fraud,full_success,success,success,success,311.0,475.0,731.0,1141.0
91,fraud,full_success,success,success,success,497.0,777.0,1021.0,1350.0
92,fraud,full_success,success,success,success,350.0,440.0,631.0,877.0
93,fraud,full_success,success,success,success,314.0,562.0,768.0,1164.0
94,fraud,full_success,success,success,success,333.0,513.0,658.0,856.0
95,fraud,full_success,success,success,success,368.0,596.0,827.0,1105.0
96,fraud,full_success,success,success,success,278.0,484.0,628.0,909.0
97,fraud,full_success,success,success,success,422.0,511.0,655.0,907.0
98,fraud,partial_or_fallback,failed: 质量检查失败：第 4 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,389.0,389.0,389.0,389.0
99,fraud,full_success,success,success,success,324.0,485.0,701.0,985.0
100,fraud,full_success,success,success,success,460.0,737.0,1035.0,1363.0
101,fraud,full_success,success,success,success,405.0,446.0,658.0,1152.0
102,fraud,full_success,success,success,success,460.0,514.0,662.0,802.0
103,fraud,full_success,success,success,success,357.0,526.0,680.0,895.0
104,fraud,full_success,success,success,success,301.0,543.0,727.0,1002.0
105,fraud,full_success,success,success,success,352.0,394.0,542.0,703.0
106,fraud,full_success,success,success,success,332.0,576.0,825.0,1050.0
107,fraud,full_success,success,success,success,318.0,603.0,762.0,1015.0
108,fraud,full_success,success,success,success,399.0,465.0,661.0,948.0
109,fraud,full_success,success,success,success,330.0,588.0,739.0,1219.0
110,fraud,full_success,success,success,success,321.0,592.0,793.0,1181.0
111,fraud,full_success,success,success,success,415.0,467.0,606.0,747.0
112,fraud,partial_or_fallback,failed: 质量检查失败：第 0 个 left 发言新增真实可操作字段：phones,skipped_due_to_D1_failure,skipped_due_to_previous_failure,466.0,466.0,466.0,466.0
113,fraud,full_success,success,success,success,436.0,527.0,712.0,1021.0
114,fraud,full_success,success,success,success,353.0,487.0,687.0,1013.0
115,fraud,full_success,success,success,success,292.0,470.0,649.0,935.0
116,fraud,full_success,success,success,success,352.0,457.0,658.0,902.0
117,fraud,full_success,success,success,success,560.0,677.0,941.0,1280.0
118,fraud,full_success,success,success,success,338.0,516.0,686.0,968.0
119,fraud,full_success,success,success,success,426.0,658.0,938.0,1209.0
120,fraud,full_success,success,success,success,422.0,608.0,810.0,1111.0
121,fraud,full_success,success,success,success,373.0,529.0,735.0,1038.0
122,fraud,full_success,success,success,success,454.0,516.0,665.0,957.0
123,fraud,full_success,success,success,success,261.0,486.0,723.0,1061.0
124,fraud,full_success,success,success,success,340.0,458.0,613.0,921.0
125,fraud,full_success,success,success,success,429.0,480.0,685.0,970.0
126,fraud,full_success,success,success,success,464.0,526.0,646.0,834.0
127,fraud,full_success,success,success,success,295.0,582.0,829.0,1023.0
128,fraud,full_success,success,success,success,380.0,611.0,856.0,1215.0
129,fraud,full_success,success,success,success,302.0,425.0,534.0,709.0
130,fraud,partial_or_fallback,failed: 质量检查失败：第 1 个 left 发言新增真实可操作字段：phones,skipped_due_to_D1_failure,skipped_due_to_previous_failure,365.0,365.0,365.0,365.0
131,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言新增真实可操作字段：phones,skipped_due_to_D1_failure,skipped_due_to_previous_failure,352.0,352.0,352.0,352.0
132,fraud,full_success,success,success,success,273.0,426.0,536.0,719.0
133,fraud,full_success,success,success,success,441.0,583.0,836.0,1058.0
134,fraud,full_success,success,success,success,338.0,670.0,953.0,1154.0
135,fraud,full_success,success,success,success,436.0,834.0,1044.0,1733.0
136,fraud,full_success,success,success,success,370.0,592.0,754.0,1139.0
137,fraud,full_success,success,success,success,309.0,575.0,796.0,1108.0
138,fraud,full_success,success,success,success,371.0,585.0,780.0,962.0
139,fraud,partial_or_fallback,failed: 质量检查失败：第 1 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,454.0,454.0,454.0,454.0
140,fraud,full_success,success,success,success,324.0,532.0,783.0,1091.0
141,fraud,partial_or_fallback,failed: 质量检查失败：第 0 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,395.0,395.0,395.0,395.0
142,fraud,full_success,success,success,success,332.0,505.0,672.0,950.0
143,fraud,full_success,success,success,success,349.0,637.0,838.0,1188.0
144,fraud,full_success,success,success,success,454.0,450.0,596.0,656.0
145,fraud,full_success,success,success,success,308.0,442.0,564.0,813.0
146,fraud,full_success,success,success,success,496.0,581.0,825.0,1211.0
147,fraud,full_success,success,success,success,369.0,625.0,891.0,1155.0
148,fraud,full_success,success,success,success,330.0,446.0,664.0,1021.0
149,fraud,full_success,success,success,success,347.0,610.0,841.0,1175.0
150,fraud,full_success,success,success,success,315.0,471.0,688.0,777.0
151,fraud,full_success,success,success,success,307.0,471.0,615.0,843.0
152,fraud,full_success,success,success,success,420.0,581.0,764.0,1147.0
153,fraud,full_success,success,success,success,379.0,592.0,775.0,1075.0
154,fraud,full_success,success,success,success,355.0,606.0,791.0,1057.0
155,fraud,full_success,success,success,success,421.0,731.0,975.0,1325.0
156,fraud,partial_or_fallback,failed: 质量检查失败：第 3 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,416.0,416.0,416.0,416.0
157,fraud,full_success,success,success,success,329.0,612.0,981.0,1306.0
158,fraud,full_success,success,success,success,286.0,539.0,720.0,1038.0
159,fraud,full_success,success,success,success,337.0,546.0,849.0,1045.0
160,fraud,full_success,success,success,success,326.0,591.0,913.0,1227.0
161,fraud,full_success,success,success,success,390.0,538.0,738.0,895.0
162,fraud,full_success,success,success,success,296.0,521.0,759.0,917.0
163,fraud,full_success,success,success,success,421.0,664.0,867.0,1170.0
164,fraud,full_success,success,success,success,356.0,605.0,973.0,1263.0
165,fraud,full_success,success,success,success,356.0,520.0,874.0,1274.0
166,fraud,full_success,success,success,success,345.0,533.0,769.0,954.0
167,fraud,full_success,success,success,success,326.0,438.0,678.0,947.0
168,fraud,full_success,success,success,success,394.0,579.0,817.0,1210.0
169,fraud,full_success,success,success,success,361.0,566.0,797.0,1119.0
170,fraud,partial_or_fallback,failed: 质量检查失败：第 0 个 left 发言新增真实可操作字段：phones,skipped_due_to_D1_failure,skipped_due_to_previous_failure,342.0,342.0,342.0,342.0
171,fraud,partial_or_fallback,failed: 质量检查失败：轮次数量不一致，原始 11，返回 12,skipped_due_to_D1_failure,skipped_due_to_previous_failure,334.0,334.0,334.0,334.0
172,fraud,full_success,success,success,success,322.0,376.0,526.0,690.0
173,fraud,partial_or_fallback,failed: 质量检查失败：第 3 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,419.0,419.0,419.0,419.0
174,fraud,full_success,success,success,success,466.0,634.0,829.0,1208.0
175,fraud,full_success,success,success,success,353.0,420.0,622.0,876.0
176,fraud,full_success,success,success,success,501.0,713.0,897.0,1040.0
177,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,436.0,436.0,436.0,436.0
178,fraud,full_success,success,success,success,414.0,543.0,720.0,1029.0
179,fraud,full_success,success,success,success,493.0,650.0,843.0,1248.0
180,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,395.0,395.0,395.0,395.0
181,fraud,full_success,success,success,success,324.0,520.0,721.0,1103.0
182,fraud,full_success,success,success,success,218.0,366.0,511.0,677.0
183,fraud,full_success,success,success,success,440.0,681.0,929.0,1234.0
184,fraud,full_success,success,success,success,266.0,510.0,779.0,1052.0
185,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,362.0,362.0,362.0,362.0
186,fraud,full_success,success,success,success,374.0,559.0,744.0,1148.0
187,fraud,full_success,success,success,success,375.0,481.0,628.0,871.0
188,fraud,full_success,success,success,success,404.0,492.0,662.0,862.0
189,fraud,full_success,success,success,success,373.0,458.0,581.0,895.0
190,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,284.0,284.0,284.0,284.0
191,fraud,full_success,success,success,success,346.0,504.0,701.0,934.0
192,fraud,full_success,success,success,success,317.0,407.0,572.0,855.0
193,fraud,full_success,success,success,success,321.0,417.0,558.0,733.0
194,fraud,full_success,success,success,success,383.0,411.0,598.0,699.0
195,fraud,full_success,success,success,success,369.0,483.0,675.0,1059.0
196,fraud,partial_or_fallback,failed: 质量检查失败：第 4 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,355.0,355.0,355.0,355.0
197,fraud,partial_or_fallback,failed: 质量检查失败：轮次数量不一致，原始 10，返回 8,skipped_due_to_D1_failure,skipped_due_to_previous_failure,360.0,360.0,360.0,360.0
198,fraud,full_success,success,success,success,323.0,680.0,988.0,1319.0
199,fraud,full_success,success,success,success,334.0,387.0,591.0,851.0
200,fraud,full_success,success,success,success,371.0,417.0,659.0,925.0
201,fraud,full_success,success,success,success,358.0,559.0,796.0,1238.0
202,fraud,full_success,success,success,success,330.0,471.0,710.0,874.0
203,fraud,full_success,success,success,success,404.0,558.0,775.0,1090.0
204,fraud,full_success,success,success,success,335.0,456.0,632.0,857.0
205,fraud,full_success,success,success,success,341.0,506.0,747.0,1008.0
206,fraud,partial_or_fallback,failed: 质量检查失败：第 4 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,456.0,456.0,456.0,456.0
207,fraud,full_success,success,success,success,378.0,524.0,740.0,979.0
208,fraud,full_success,success,success,success,307.0,424.0,637.0,900.0
209,fraud,full_success,success,success,success,292.0,499.0,682.0,925.0
210,fraud,full_success,success,success,success,506.0,642.0,821.0,1090.0
211,fraud,full_success,success,success,success,356.0,477.0,750.0,1222.0
212,fraud,partial_or_fallback,failed: 质量检查失败：第 4 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,328.0,328.0,328.0,328.0
213,fraud,partial_or_fallback,failed: 质量检查失败：第 1 个 left 发言新增真实可操作字段：long_numbers,skipped_due_to_D1_failure,skipped_due_to_previous_failure,235.0,235.0,235.0,235.0
214,fraud,full_success,success,success,success,357.0,478.0,640.0,919.0
215,fraud,full_success,success,success,success,322.0,433.0,564.0,868.0
216,fraud,partial_or_fallback,failed: 质量检查失败：第 0 个 left 发言出现元说明词：检测,skipped_due_to_D1_failure,skipped_due_to_previous_failure,332.0,332.0,332.0,332.0
217,fraud,full_success,success,success,success,418.0,453.0,652.0,989.0
218,fraud,full_success,success,success,success,414.0,447.0,581.0,767.0
219,fraud,full_success,success,success,success,352.0,533.0,775.0,1004.0
220,fraud,full_success,success,success,success,447.0,631.0,803.0,1115.0
221,fraud,full_success,success,success,success,297.0,410.0,567.0,763.0
222,fraud,full_success,success,success,success,331.0,399.0,590.0,824.0
223,fraud,full_success,success,success,success,306.0,396.0,492.0,671.0
224,fraud,full_success,success,success,success,318.0,504.0,654.0,980.0
225,fraud,full_success,success,success,success,381.0,575.0,763.0,961.0
226,fraud,full_success,success,success,success,270.0,355.0,598.0,932.0
227,fraud,full_success,success,success,success,389.0,635.0,856.0,999.0
228,fraud,full_success,success,success,success,422.0,487.0,661.0,808.0
229,fraud,full_success,success,success,success,404.0,632.0,806.0,1107.0
230,fraud,partial_or_fallback,failed: 质量检查失败：第 3 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,273.0,273.0,273.0,273.0
231,fraud,partial_or_fallback,failed: 质量检查失败：第 1 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,369.0,369.0,369.0,369.0
232,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,380.0,380.0,380.0,380.0
233,fraud,full_success,success,success,success,317.0,474.0,682.0,936.0
234,fraud,full_success,success,success,success,301.0,643.0,921.0,1179.0
235,fraud,full_success,success,success,success,439.0,502.0,699.0,1162.0
236,fraud,partial_or_fallback,failed: 质量检查失败：轮次数量不一致，原始 10，返回 9,skipped_due_to_D1_failure,skipped_due_to_previous_failure,497.0,497.0,497.0,497.0
237,fraud,partial_or_fallback,failed: 质量检查失败：第 1 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,470.0,470.0,470.0,470.0
238,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,337.0,337.0,337.0,337.0
239,fraud,full_success,success,success,success,323.0,569.0,913.0,1153.0
240,fraud,full_success,success,success,success,346.0,408.0,568.0,951.0
241,fraud,full_success,success,success,success,349.0,498.0,737.0,1041.0
242,fraud,full_success,success,success,success,428.0,474.0,674.0,954.0
243,fraud,full_success,success,success,success,392.0,465.0,669.0,861.0
244,fraud,full_success,success,success,success,330.0,492.0,680.0,899.0
245,fraud,full_success,success,success,success,376.0,576.0,783.0,1141.0
246,fraud,full_success,success,success,success,351.0,443.0,638.0,836.0
247,fraud,partial_or_fallback,failed: 质量检查失败：第 1 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,375.0,375.0,375.0,375.0
248,fraud,partial_or_fallback,failed: 质量检查失败：第 3 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,471.0,471.0,471.0,471.0
249,fraud,full_success,success,success,success,377.0,600.0,795.0,1098.0
250,fraud,full_success,success,success,success,266.0,431.0,583.0,872.0
251,fraud,full_success,success,success,success,340.0,430.0,559.0,769.0
252,fraud,full_success,success,success,success,334.0,387.0,536.0,640.0
253,fraud,full_success,success,success,success,382.0,535.0,730.0,1103.0
254,fraud,partial_or_fallback,failed: 质量检查失败：第 0 个 left 发言新增真实可操作字段：long_numbers,skipped_due_to_D1_failure,skipped_due_to_previous_failure,556.0,556.0,556.0,556.0
255,fraud,full_success,success,success,success,307.0,417.0,568.0,787.0
256,fraud,full_success,success,success,success,448.0,555.0,879.0,1343.0
257,fraud,full_success,success,success,success,423.0,628.0,808.0,1074.0
258,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,384.0,384.0,384.0,384.0
259,fraud,full_success,success,success,success,344.0,525.0,706.0,1106.0
260,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,368.0,368.0,368.0,368.0
261,fraud,full_success,success,success,success,348.0,478.0,651.0,931.0
262,fraud,partial_or_fallback,failed: 质量检查失败：第 3 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,565.0,565.0,565.0,565.0
263,fraud,full_success,success,success,success,384.0,481.0,657.0,966.0
264,fraud,full_success,success,success,success,419.0,638.0,939.0,1242.0
265,fraud,partial_or_fallback,failed: 质量检查失败：第 1 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,363.0,363.0,363.0,363.0
266,fraud,partial_or_fallback,failed: 质量检查失败：轮次数量不一致，原始 11，返回 12,skipped_due_to_D1_failure,skipped_due_to_previous_failure,540.0,540.0,540.0,540.0
267,fraud,partial_or_fallback,failed: 质量检查失败：第 5 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,464.0,464.0,464.0,464.0
268,fraud,full_success,success,success,success,328.0,446.0,569.0,940.0
269,fraud,full_success,success,success,success,395.0,478.0,719.0,865.0
270,fraud,full_success,success,success,success,326.0,448.0,640.0,957.0
271,fraud,full_success,success,success,success,343.0,462.0,644.0,1041.0
272,fraud,full_success,success,success,success,360.0,482.0,765.0,1138.0
273,fraud,full_success,success,success,success,343.0,505.0,671.0,918.0
274,fraud,full_success,success,success,success,302.0,404.0,554.0,785.0
275,fraud,full_success,success,success,success,564.0,665.0,920.0,1157.0
276,fraud,full_success,success,success,success,312.0,401.0,528.0,784.0
277,fraud,full_success,success,success,success,418.0,425.0,583.0,799.0
278,fraud,full_success,success,success,success,512.0,584.0,767.0,1113.0
279,fraud,full_success,success,success,success,525.0,908.0,1239.0,1749.0
280,fraud,full_success,success,success,success,354.0,454.0,683.0,912.0
281,fraud,full_success,success,success,success,345.0,706.0,927.0,1187.0
282,fraud,full_success,success,success,success,391.0,597.0,810.0,1102.0
283,fraud,full_success,success,success,success,307.0,384.0,528.0,751.0
284,fraud,full_success,success,success,success,489.0,657.0,969.0,1419.0
285,fraud,full_success,success,success,success,316.0,565.0,743.0,973.0
286,fraud,full_success,success,success,success,418.0,672.0,879.0,1364.0
287,fraud,full_success,success,success,success,360.0,402.0,567.0,955.0
288,fraud,partial_or_fallback,failed: 质量检查失败：第 3 个 left 发言新增真实可操作字段：phones,skipped_due_to_D1_failure,skipped_due_to_previous_failure,520.0,520.0,520.0,520.0
289,fraud,full_success,success,success,success,370.0,423.0,637.0,922.0
290,fraud,full_success,success,success,success,372.0,536.0,770.0,971.0
291,fraud,full_success,success,success,success,377.0,575.0,757.0,1054.0
292,fraud,full_success,success,success,success,360.0,482.0,567.0,898.0
293,fraud,full_success,success,success,success,258.0,460.0,610.0,794.0
294,fraud,full_success,success,success,success,430.0,703.0,949.0,1247.0
295,fraud,full_success,success,success,success,301.0,522.0,794.0,934.0
296,fraud,partial_or_fallback,failed: 质量检查失败：第 3 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,453.0,453.0,453.0,453.0
297,fraud,partial_or_fallback,"failed: ValueError: empty response, finish_reason=length",skipped_due_to_D1_failure,skipped_due_to_previous_failure,386.0,386.0,386.0,386.0
298,fraud,full_success,success,success,success,323.0,580.0,737.0,1038.0
299,fraud,partial_or_fallback,failed: 质量检查失败：第 1 个 left 发言出现元说明词：检测,skipped_due_to_D1_failure,skipped_due_to_previous_failure,315.0,315.0,315.0,315.0
300,fraud,full_success,success,success,success,404.0,867.0,1060.0,1208.0
301,fraud,full_success,success,success,success,342.0,465.0,691.0,899.0
302,fraud,full_success,success,success,success,293.0,546.0,740.0,1014.0
303,fraud,full_success,success,success,success,334.0,457.0,619.0,874.0
304,fraud,full_success,success,success,success,280.0,353.0,477.0,695.0
305,fraud,full_success,success,success,success,426.0,487.0,672.0,889.0
306,fraud,full_success,success,success,success,369.0,486.0,688.0,994.0
307,fraud,full_success,success,success,success,304.0,473.0,665.0,984.0
308,fraud,full_success,success,success,success,291.0,562.0,831.0,958.0
309,fraud,full_success,success,success,success,382.0,800.0,1048.0,1413.0
310,fraud,full_success,success,success,success,335.0,495.0,748.0,1017.0
311,fraud,full_success,success,success,success,361.0,508.0,644.0,872.0
312,fraud,full_success,success,success,success,405.0,513.0,639.0,893.0
313,fraud,full_success,success,success,success,293.0,428.0,636.0,981.0
314,fraud,full_success,success,success,success,362.0,541.0,736.0,1181.0
315,fraud,full_success,success,success,success,336.0,380.0,510.0,833.0
316,fraud,full_success,success,success,success,376.0,531.0,810.0,1232.0
317,fraud,full_success,success,success,success,399.0,478.0,690.0,958.0
318,fraud,full_success,success,success,success,487.0,699.0,863.0,1255.0
319,fraud,full_success,success,success,success,350.0,466.0,682.0,970.0
320,fraud,full_success,success,success,success,345.0,552.0,670.0,937.0
321,fraud,full_success,success,success,success,408.0,483.0,655.0,807.0
322,fraud,full_success,success,success,success,378.0,586.0,774.0,1087.0
323,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,433.0,433.0,433.0,433.0
324,fraud,full_success,success,success,success,341.0,508.0,698.0,909.0
325,fraud,full_success,success,success,success,380.0,490.0,700.0,931.0
326,fraud,partial_or_fallback,failed: 质量检查失败：第 2 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,322.0,322.0,322.0,322.0
327,fraud,full_success,success,success,success,502.0,615.0,951.0,1295.0
328,fraud,full_success,success,success,success,347.0,403.0,556.0,866.0
329,fraud,full_success,success,success,success,424.0,654.0,971.0,1480.0
330,fraud,full_success,success,success,success,406.0,619.0,828.0,971.0
331,fraud,full_success,success,success,success,480.0,597.0,752.0,980.0
332,fraud,partial_or_fallback,failed: 质量检查失败：第 1 个 left 发言出现元说明词：生成,skipped_due_to_D1_failure,skipped_due_to_previous_failure,399.0,399.0,399.0,399.0
